Jintra,deltaJ,Jinter
2.0,0.1,0.0
2.0,0.398,0.0
2.0,0.696,0.0
2.0,0.994,0.0
2.0,1.292,0.0
2.0,1.59,0.0
2.0,1.888,0.0
2.0,2.186,0.0
2.0,2.484,0.0
2.0,2.782,0.0
2.0,3.08,0.0
2.0,3.378,0.0
2.0,3.676,0.0
2.0,3.974,0.0
2.0,4.272,0.0
2.0,4.57,0.0
2.0,4.868,0.0
2.0,5.166,0.0
2.0,5.464,0.0
2.0,5.762,0.0
2.0,6.06,0.0
2.0,6.358,0.0
2.0,6.656,0.0
2.0,6.954,0.0
2.0,7.252,0.0
2.0,7.55,0.0
2.0,7.848,0.0
2.0,8.146,0.0
2.0,8.444,0.0
2.0,8.742,0.0
2.0,9.04,0.0
2.0,9.338,0.0
2.0,9.636,0.0
2.0,9.934,0.0
2.0,10.232,0.0
2.0,10.53,0.0
2.0,10.828,0.0
2.0,11.126,0.0
2.0,11.424,0.0
2.0,11.722,0.0
2.0,12.02,0.0
2.0,12.318,0.0
2.0,12.616,0.0
2.0,12.914,0.0
2.0,13.212,0.0
2.0,13.51,0.0
2.0,13.808,0.0
2.0,14.106,0.0
2.0,14.404,0.0
2.0,14.702,0.0
2.0,15.0,0.0
